collection,release,source_pdf,source_sha256,source_bytes,pages,ocr_pdf,ocr_sha256,text_file,markdown_file,ocr_exit_code,ocr_seconds,text_chars,chars_per_page,empty_pages,tool_versions,ocr_options,needs_review,error
department-of-war,release-01,processing/department-of-war/release-01/originals/341-110677-numerical-file-5-2500.pdf,10e3ba274b83d7733c2f7fac755656cc427930b647f003b7a367b58f520cb078,8092245,10,processing/department-of-war/release-01/searchable-pdf/341-110677-numerical-file-5-2500.pdf,1d1059c3192db56ead2e469c41ab3be4e412b4d2acbc49c3c6e39cba4f1a123c,processing/department-of-war/release-01/text/341-110677-numerical-file-5-2500.txt,department-of-war/release-01/341-110677-numerical-file-5-2500.md,0,31.9,12871,1287.1,3,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,true,
department-of-war,release-01,processing/department-of-war/release-01/originals/342-hs1-416511228-box186-319-1-flying-discs-1949.pdf,9d159600731338100b6b9c8565971b68aac644476fd766ade9d6bf126cfd3c7b,71924623,143,processing/department-of-war/release-01/searchable-pdf/342-hs1-416511228-box186-319-1-flying-discs-1949.pdf,d58e111afbd963d12814dfc0bd23e45153ee7e71a28660132d32f8217fdf3df8,processing/department-of-war/release-01/text/342-hs1-416511228-box186-319-1-flying-discs-1949.txt,department-of-war/release-01/342-hs1-416511228-box186-319-1-flying-discs-1949.md,0,86.4,165424,1156.8,6,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/38-143685-box7-incident-summaries-1-100.pdf,c1c48d35943e6522fc285592453136526b6e41fed23b61a0e81ac61b68d8bde6,32675506,209,processing/department-of-war/release-01/searchable-pdf/38-143685-box7-incident-summaries-1-100.pdf,9698cff479b20a695d3d829cc1d563955634af05b84a90b3a75a26850fafdb11,processing/department-of-war/release-01/text/38-143685-box7-incident-summaries-1-100.txt,department-of-war/release-01/38-143685-box7-incident-summaries-1-100.md,0,297.6,206367,987.4,16,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/38-143685-box7-incident-summaries-101-172.pdf,23482936d9dbf8dee014f3b0e1e12462731e617894c724aca6bcb688a01e277c,28550135,178,processing/department-of-war/release-01/searchable-pdf/38-143685-box7-incident-summaries-101-172.pdf,016a382eb1f7df2fe1b922ea3a9210b4495b71a8fcc2f51f07ad4b793cced034,processing/department-of-war/release-01/text/38-143685-box7-incident-summaries-101-172.txt,department-of-war/release-01/38-143685-box7-incident-summaries-101-172.md,0,185.1,178417,1002.3,1,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/38-143685-box7-incident-summaries-173-233.pdf,b24365329f506d92acfae313f0ed3aef2060de17d72bf61b6c91bc035bf7dd95,161362330,144,processing/department-of-war/release-01/searchable-pdf/38-143685-box7-incident-summaries-173-233.pdf,2117f60b1accaf34bc3e15fd38ea6ad008072857c8a854a14ae7956fa0ef81a4,processing/department-of-war/release-01/text/38-143685-box7-incident-summaries-173-233.txt,department-of-war/release-01/38-143685-box7-incident-summaries-173-233.md,0,46.7,295070,2049.1,2,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/59-214434-sp-16-7-18-1963.pdf,cddcc196385c373ef7fd55fee4c196bfad531860a05777786cf6d90a2fd7dabd,1169464,6,processing/department-of-war/release-01/searchable-pdf/59-214434-sp-16-7-18-1963.pdf,51cc974b07a649c317392103d2b8e8c4c4df58e0218742f616c1cf5da74a16b6,processing/department-of-war/release-01/text/59-214434-sp-16-7-18-1963.txt,department-of-war/release-01/59-214434-sp-16-7-18-1963.md,0,0.5,15186,2531.0,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/59-64634-711-5612-7-2852.pdf,2539850305227baf0b3bb487cbf41f5834eca2b188dc2d65849fdb06b683bd13,898369,2,processing/department-of-war/release-01/searchable-pdf/59-64634-711-5612-7-2852.pdf,cbdfe9805f142270d613cb7f68b0c4e4608899aa7b001c9f78f77d11d0524253,processing/department-of-war/release-01/text/59-64634-711-5612-7-2852.txt,department-of-war/release-01/59-64634-711-5612-7-2852.md,0,0.4,2750,1375.0,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-101634279-100-de-18221-serial-844.pdf,36b00fdf99e456dff9a507db7fd90fadb995db235650966f14b77279095fcc6a,265783,1,processing/department-of-war/release-01/searchable-pdf/65-hs1-101634279-100-de-18221-serial-844.pdf,f275d48ce998f45b404a06366db97ce5b10b4699b2d56574627dea7813115910,processing/department-of-war/release-01/text/65-hs1-101634279-100-de-18221-serial-844.txt,department-of-war/release-01/65-hs1-101634279-100-de-18221-serial-844.md,0,0.4,2013,2013.0,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-101634279-100-de-26505.pdf,3fc7a74876b36b328bca96953fd73049b063cc0b50ad412c7a32900c83539d89,5326217,15,processing/department-of-war/release-01/searchable-pdf/65-hs1-101634279-100-de-26505.pdf,8d274be1b5f91fcff780a5fb8c3f9c1fa564457282ed8939ca0b1c11f5850370,processing/department-of-war/release-01/text/65-hs1-101634279-100-de-26505.txt,department-of-war/release-01/65-hs1-101634279-100-de-26505.md,0,31.2,28616,1907.7,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-1.pdf,6768eb6e15f7566057b77aad159767ca87e2846493a645e015ad8e06fdb759be,30436722,185,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-1.pdf,5ead3262a4d5b3daddc8bb144447a26fd69576449d9fd14324b21543b955ee8d,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-1.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-1.md,0,43.0,335195,1811.9,7,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-10.pdf,b13552c6b558408ef1e28a46158e6a45a62d74c3aac6074f74abb23bcab76fbe,58141207,184,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-10.pdf,c2a67433714d9a96e70f0960ffa428bb75141b858a0e9bdd1f7f73f4678631c0,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-10.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-10.md,0,67.8,964610,5242.4,5,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
