collection,release,source_pdf,source_sha256,source_bytes,pages,ocr_pdf,ocr_sha256,text_file,markdown_file,ocr_exit_code,ocr_seconds,text_chars,chars_per_page,empty_pages,tool_versions,ocr_options,needs_review,error
department-of-war,release-02,department-of-war/release-02/cia-uap-d001-intelligence-information-report-ussr-1973.pdf,d3039ed486d8400be3263c0c438b199abfdb8ac030156baff1536f007349d315,154038,3,department-of-war/ocr/release-02/searchable-pdf/cia-uap-d001-intelligence-information-report-ussr-1973.pdf,0197b004b6f9072662b58a8988d76295ff67cc119e8da54fa11905dc30bcf030,department-of-war/ocr/release-02/text/cia-uap-d001-intelligence-information-report-ussr-1973.txt,department-of-war/ocr/release-02/markdown/cia-uap-d001-intelligence-information-report-ussr-1973.md,0,0.8,6020,2006.7,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-02,department-of-war/release-02/doe-uap-d001-pantex-image.pdf,4c007724fa7325d211123c153e1ed3eb989635302a6d2cd8757319d7f69358de,164108,2,department-of-war/ocr/release-02/searchable-pdf/doe-uap-d001-pantex-image.pdf,79b06361407f461626651bb78934621871b5caa573d58c551b1d2d32b8fa6828,department-of-war/ocr/release-02/text/doe-uap-d001-pantex-image.txt,department-of-war/ocr/release-02/markdown/doe-uap-d001-pantex-image.md,0,0.8,1123,561.5,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-02,department-of-war/release-02/doe-uap-d002-jamestuck-correspondence.pdf,324a9795356cc793ede04a2494fa2eb18be10847baa490f605a22572c75f51ec,554461,4,department-of-war/ocr/release-02/searchable-pdf/doe-uap-d002-jamestuck-correspondence.pdf,73cc03b5a026ecf5cce9c0c3bfa7ea52b5db0f762af911a3cdfa892c29b6dab4,department-of-war/ocr/release-02/text/doe-uap-d002-jamestuck-correspondence.txt,department-of-war/ocr/release-02/markdown/doe-uap-d002-jamestuck-correspondence.md,0,9.3,2087,521.8,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-02,department-of-war/release-02/doe-uap-d003-pajarito-astronomers.pdf,89ecb1163e42d3e8a215033b88e87ae3befe82a8dad1db112fae7e760bb756f4,360462,1,department-of-war/ocr/release-02/searchable-pdf/doe-uap-d003-pajarito-astronomers.pdf,20cc03f384c1a85c256458bdaa480adbe067608070398a6e9c3b82d16b412048,department-of-war/ocr/release-02/text/doe-uap-d003-pajarito-astronomers.txt,department-of-war/ocr/release-02/markdown/doe-uap-d003-pajarito-astronomers.md,0,0.5,1199,1199.0,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-02,department-of-war/release-02/dow-uap-d017-general-correspondence-of-sandia.pdf,ec72132902a2f50d2ab032031386710fef1d1ae1face0226a90243f61d9347b4,68764801,116,department-of-war/ocr/release-02/searchable-pdf/dow-uap-d017-general-correspondence-of-sandia.pdf,3223e5369ed0a6b0f710411d5dd0178a8e6c6c35308cdb18a37ea40e3f4bfc7d,department-of-war/ocr/release-02/text/dow-uap-d017-general-correspondence-of-sandia.txt,department-of-war/ocr/release-02/markdown/dow-uap-d017-general-correspondence-of-sandia.md,0,50.6,730014,6293.2,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-02,department-of-war/release-02/odni-uap-d001-usper-narrative-senior-usic.pdf,bef126d8702b94e760041d065bf4d6611443815a0e1ea671809bfd64319dbffb,58516,2,department-of-war/ocr/release-02/searchable-pdf/odni-uap-d001-usper-narrative-senior-usic.pdf,4d08946a6e0dae83566f30d34ea65aa5a8171c5729ce6b0da2d456555c92ef9c,department-of-war/ocr/release-02/text/odni-uap-d001-usper-narrative-senior-usic.txt,department-of-war/ocr/release-02/markdown/odni-uap-d001-usper-narrative-senior-usic.md,0,0.4,5593,2796.5,0,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
